gender,name.title,name.first,name.last,location.street,location.city,location.state,location.postcode,email,login.username,login.password,dob,date.registered,phone,cell,picture.large,nat
male,mr,ted,wright,2020 royal ln,coffs harbour,tasmania,4126,ted.wright@example.com,organicleopard402,rolex,11/8/73 1:33,5/5/07 20:26,01-0349-5128,0449-989-455,https://randomuser.me/api/portraits/men/48.jpg,AU
male,mr,quentin,schmitt,2433 rue dubois,vitry-sur-seine,indre-et-loire,99856,quentin.schmitt@example.com,bluegoose191,norton,5/24/51 3:16,4/11/11 7:05,05-72-65-32-21,06-83-24-92-41,https://randomuser.me/api/portraits/men/53.jpg,FR
female,ms,laura,johansen,2142 elmelunden,silkeboeg,hovedstaden,16264,laura.johansen@example.com,orangebird528,stevens,5/22/77 21:03,5/16/14 15:53,81616775,697-993-20,https://randomuser.me/api/portraits/women/70.jpg,DK
male,mr,ismael,herrero,3897 calle del barquillo,gandia,ceuta,61349,ismael.herrero@example.com,heavyswan518,303030,8/1/58 9:13,2/17/06 16:53,974-117-403,665-791-673,https://randomuser.me/api/portraits/men/79.jpg,ES
female,ms,susana,blanco,2208 avenida de america,mastoles,extremadura,29445,susana.blanco@example.com,silverkoala701,aloha,12/18/55 3:21,10/3/02 17:55,917-199-202,612-612-929,https://randomuser.me/api/portraits/women/18.jpg,ES
male,mr,mason,wilson,4576 wilson road,dunedin,taranaki,91479,mason.wilson@example.com,organicduck470,topdog,6/23/60 9:19,12/1/08 8:31,(137)-326-5772,(700)-060-1523,https://randomuser.me/api/portraits/men/60.jpg,NZ
male,mr,lutz,strauio,5707 eichenweg,emden,brandenburg,13341,lutz.strauio@example.com,purplemouse467,close-up,7/20/80 3:51,4/10/11 20:44,0802-1871274,0170-4221269,https://randomuser.me/api/portraits/men/31.jpg,DE
female,miss,kaylee,gordon,5475 camden ave,flint,oregon,84509,kaylee.gordon@example.com,beautifulgoose794,atlantis,3/24/48 12:22,5/5/13 8:14,(817)-962-1275,(831)-325-1142,https://randomuser.me/api/portraits/women/65.jpg,US
male,mr,baraek,limoncuocu,2664 baedat cd,siirt,tokat,86146,baraek.limoncuoculu@example.com,whitebutterfly599,tobias,5/8/92 22:01,9/12/04 0:56,(023)-879-4331,(837)-014-1113,https://randomuser.me/api/portraits/men/94.jpg,TR
male,mr,basile,perrin,3683 avenue jean-jaurias,versailles,dordogne,25177,basile.perrin@example.com,organicmeercat418,ellie,2/28/65 0:37,4/12/07 4:50,04-16-53-97-17,06-63-08-15-52,https://randomuser.me/api/portraits/men/82.jpg,FR
male,monsieur,ruben,lopez,4204 rue principale,montricher,aargau,7993,ruben.lopez@example.com,crazybear348,beth,5/27/76 3:30,4/17/06 17:40,(931)-692-1073,(747)-833-3781,https://randomuser.me/api/portraits/men/84.jpg,CH
male,mr,valtteri,waisanen,9850 hemeentie,halsua,south karelia,58124,valtteri.waisanen@example.com,redswan919,nocturne,12/24/80 10:40,9/22/03 20:47,02-227-661,042-153-83-79,https://randomuser.me/api/portraits/men/80.jpg,FI
female,mrs,vanessa,brewer,3436 henry street,celbridge,fingal,30030,vanessa.brewer@example.com,purpleleopard113,gladiato,1/15/68 17:39,2/5/05 21:02,041-167-2755,081-154-0245,https://randomuser.me/api/portraits/women/15.jpg,IE
female,miss,kimberly,brown,8654 manor road,bangor,borders,HI92 8RY,kimberly.brown@example.com,crazyelephant996,nebraska,1/9/86 8:54,12/3/11 0:41,017684 80873,0799-553-944,https://randomuser.me/api/portraits/women/49.jpg,GB
female,miss,loreen,baettner,2234 erlenweg,chemnitzer land,niedersachsen,27167,loreen.baettner@example.com,blacktiger499,rovers,9/3/49 4:56,3/24/16 17:27,0693-0473309,0176-2769900,https://randomuser.me/api/portraits/women/50.jpg,DE
female,miss,becky,wallace,5965 the crescent,ely,west yorkshire,GR8 0UP,becky.wallace@example.com,crazypeacock937,bambi,3/30/59 5:03,7/15/08 2:42,015395 04615,0740-849-325,https://randomuser.me/api/portraits/women/67.jpg,GB
male,monsieur,hector,gonzalez,5104 rue pasteur,bercher,st. gallen,1745,hector.gonzalez@example.com,organiccat637,calgary,12/10/53 6:48,3/19/04 20:51,(569)-609-0669,(032)-958-9790,https://randomuser.me/api/portraits/men/9.jpg,CH
female,ms,ella,neva,4620 visiokatu,kerava,finland proper,26385,ella.neva@example.com,orangegorilla786,f00tball,7/18/91 14:30,3/17/14 7:13,02-351-279,043-436-42-30,https://randomuser.me/api/portraits/women/68.jpg,FI
male,mr,simon,barnaby,2206 simcoe st,odessa,nova scotia,90889,simon.barnaby@example.com,redmeercat724,buddie,6/18/89 5:06,12/24/12 12:08,618-983-5566,088-025-2948,https://randomuser.me/api/portraits/men/61.jpg,CA
male,mr,max,moser,3045 koenigsberger strasse,weimar,mecklenburg-vorpommern,18553,max.moser@example.com,bigladybug459,penetrating,8/12/61 12:13,7/19/03 1:08,0503-3338884,0175-7158431,https://randomuser.me/api/portraits/men/49.jpg,DE
