name,success,age,rank
Aaron,15,9.8,medium
Adam,14,12.06,medium
Agustin,22,16.33,high
Alan,9,8.79,low
Andrew,12,6.81,low
Anthony,11,14.84,low
Arthur,21,14.58,medium
Baxter,12,11.39,low
Benjamin,17,9.71,low
Bill,6,9.71,low
Carl,8,9.54,low
Carlos,15,11.16,high
Chaz,14,10.76,low
Chris,15,12.19,high
Christopher,12,11.1,high
Cliff,7,9.56,high
Connor,7,6.94,low
Earl,24,12.19,high
Eli,10,9.5,low
Gary,8,10.47,low
Hadley,9,13.17,low
Harry,10,5.74,low
Harvey,16,9.51,high
Henry,12,10.21,low
Howard,10,12.36,high
Jack,11,10.74,medium
James,8,5.84,high
James,14,12.42,high
Jason,12,11.55,medium
Jeffrey,5,10.41,high
Jerry,13,11.51,low
Jesse,6,7.17,high
Joe,20,13.71,medium
Jonathan,8,10.77,low
Lawrence,8,9.14,low
Luke,19,14.51,medium
Lyle,12,14.18,low
Martin,12,10.77,high
Mike,14,8.4,medium
Morgan,13,14.56,high
Patrick,13,7.01,medium
Rafael,12,15.66,low
Raymond,9,12,low
Ricardo,11,11.87,low
Robert,11,9.7,medium
Roger,11,7.56,high
Russell,13,10.16,high
Samuel,9,11.1,high
Scott,9,10.4,high
Sean,11,6.93,high
Skipper,19,10.38,high
Sloane,14,9.62,high
Stan,12,14.08,high
Steve,17,11.25,high
Todd,9,9.94,high
Val,10,13.44,medium
Victor,9,9.01,medium
William,9,12.26,low
Willie,13,13.39,low
Winston,15,13.2,low
