id,first_name,last_name,gender,height,weight,zombies_killed,years_of_education,major,age
1,Sarah,Little,Female,62.88950673,132.0871655,2,1,medicine/nursing,17.64274518
2,Mark,Duncan,Male,67.80276602,146.3752925,5,3,criminal justice administration,22.58951319
3,Brandon,Perez,Male,72.12908457,152.9370216,1,1,education,21.91276024
4,Roger,Coleman,Male,66.78484021,129.741805,5,6,energy studies,18.19058207
5,Tammy,Powell,Female,64.71832035,132.4264921,4,3,logistics,21.10398591
6,Anthony,Green,Male,71.24326295,152.5245793,1,4,energy studies,21.48355327
7,Theresa,Hamilton,Female,70.26459467,160.2568965,0,4,psychology,20.53096179
8,Phyllis,Jenkins,Female,59.82760067,108.8093097,4,0,botany,15.94527481
9,Steven,Long,Male,68.59963173,152.9015451,9,3,communication,17.34932579
10,Russell,Chavez,Male,72.81768519,168.5616417,2,3,military strategy,21.50797844
11,Matthew,Fuller,Male,70.66565135,149.2833642,4,4,logistics,24.15861451
12,Adam,Elliott,Male,71.58093463,157.3539616,4,3,energy studies,20.24793739
13,Alan,Olson,Male,66.69700502,133.6441051,2,1,economics,18.59929023
14,Louise,Hall,Female,65.88746561,131.533634,5,5,mechanical engineering,19.216702
15,Donald,Murray,Male,65.66305826,121.283343,4,5,physical education,20.90986473
16,James,Nelson,Male,67.54015881,143.9060862,2,2,philosophy,19.85982516
17,Peter,Perkins,Male,72.2360842,171.0234704,5,1,psychology,18.74896924
18,Anne,Garza,Female,62.74435294,127.1144878,3,5,criminal justice administration,19.58133981
19,Jose,Ramirez,Male,74.75869315,145.5467921,2,1,economics,23.96539121
20,Sarah,Weaver,Female,63.17104341,123.2177333,1,5,military strategy,21.80444724
21,Denise,Richards,Female,62.40083295,120.7949579,3,1,medicine/nursing,23.94053627
22,Jean,Harris,Female,63.32657708,129.7149307,1,2,communication,21.33235792
23,Adam,Johnston,Male,72.78699404,160.782605,0,5,biology,20.94382718
24,Gregory,Taylor,Male,68.405523,151.4955912,3,3,applied sciences,21.69195522
25,Lawrence,Phillips,Male,74.47760458,163.6463555,8,0,animal husbandry,23.90185289
26,Cheryl,Sanders,Female,66.21360866,147.5891326,1,3,agricultural sciences,18.82527388
27,Annie,Warren,Female,64.27576074,122.7358733,1,2,medicine/nursing,21.07450937
28,Patrick,Sanders,Male,66.11656704,128.0317716,1,2,agricultural sciences,18.61007084
29,Roger,Perry,Male,64.64340711,135.9254398,4,2,animal husbandry,17.74221763
30,Janice,Stevens,Female,69.14400853,149.1775626,1,1,economics,23.7636583
